idproduct,name,brand,salesprices,stockIndicator,linkUrl,SeoToken
960775390,Byson Long Sleeve Sherpa Lined Check Overshirt in Black,Maddox,$109.95,InStock,https://www.myer.com.au/p/maddox-byson-long-sleeve-sherpa-lined-check-overshirt-in-black,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
956985400,Rundale Long Sleeve Check Shirt in Green,Reserve,$79.95,InStock,https://www.myer.com.au/p/reserve-rundale-long-sleeve-check-shirt-in-green,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
960257800,Charon Check Long Sleeve Sherpa Overshirt in Beige,Kenji,$99.95,InStock,https://www.myer.com.au/p/kenji-charon-check-long-sleeve-sherpa-overshirt-in-beige,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
960775300,Ronnie Long Sleeve Sherpa Lined Check Overshirt in Red,Maddox,$109.95,InStock,https://www.myer.com.au/p/maddox-ronnie-long-sleeve-sherpa-lined-check-overshirt-in-red,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
979886170,Jackson Worker Overshirt in Red,Levi's,$119.95,InStock,https://www.myer.com.au/p/levis-jackson-worker-overshirt-in-red,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
978395500,Tailored Brushed Leaf Print Long Sleeve Shirt in Grey,Gazman,$109.00,InStock,https://www.myer.com.au/p/gazman-tailored-brushed-leaf-print-long-sleeve-shirt-in-grey,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
974192050,Heavy Twill Check Overshirt in Vintage Cream,Gant,$299.00,InStock,https://www.myer.com.au/p/gant-heavy-twill-check-overshirt-in-vintage-cream,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
956561320,Atticus Check Long Sleeve Overshirt in Green,Blaq,$99.95,InStock,https://www.myer.com.au/p/blaq-atticus-check-long-sleeve-overshirt-in-green,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
815392450,Slim Fit Oxford Shirt,Polo Ralph Lauren,$189.00,InStock,https://www.myer.com.au/p/polo-ralph-lauren-slim-fit-oxford-shirt,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
928267210,Gunn Oxford Sports Fit Shirt in Olive,Rodd & Gunn,$139.00,InStock,https://www.myer.com.au/p/rodd-gunn-gunn-oxford-sports-fit-shirt-olive,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
934270840,Relaxed Utility Shirt in Blue,Calvin Klein Jeans,$189.00,InStock,https://www.myer.com.au/p/calvin-klein-jeans-relaxed-utility-shirt-in-blue,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
929700010,Flex Poplin Long Sleeve Shirt in Black,Tommy Hilfiger,$149.00,InStock,https://www.myer.com.au/p/tommy-hilfiger-flex-poplin-long-sleve-shirt-in-black,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
985926160,Flannel Tattersall Check Long Sleeve Shirt in Multi,Tommy Hilfiger,$149.00,InStock,https://www.myer.com.au/p/tommy-hilfiger-flannel-tattersall-check-long-sleve-shirt-in-multi,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
985247290,Motherfly Long Sleeve Flannelette Shirt in Grey,Quiksilver,$79.99,InStock,https://www.myer.com.au/p/quiksilver-motherfly-long-sleve-flannelette-shirt-in-grey,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
941634010,Superfine Gunn Check Oxford Sports Fit Shirt in Sea Blue,Rodd & Gunn,$139.00,InStock,https://www.myer.com.au/p/rodd-gunn-superfine-gunn-check-oxford-sports-fit-shirt-in-sea-blue,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
954330400_954322390,Oxford Slim Fit Shirt in Khaki,French Connection,$79.95,InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
960775570,Parker Long Sleeve Quilted Check Overshirt in Navy,Maddox,$109.95,InStock,https://www.myer.com.au/p/maddox-parker-long-sleeve-quilted-check-overshirt-in-navy,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
960774040,Alec Linen Long Sleeve Shirt in Green,Maddox,$79.95,InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-green,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
966843730,Classic Long Sleeve Circle Print Shirt in Blue,Van Heusen,$69.95,InStock,https://www.myer.com.au/p/van-heusen-classic-long-sleeve-circle-print-shirt-in-blue,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
833134690,Wash'N'Wear Plain Euro Long Sleeve Business Shirt White,Van Heusen,$69.95,InStock,https://www.myer.com.au/p/van-heusen-washnwear-plain-euro-business-shirt,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
934342660_934339780,Bentleigh Modern Fit Shirt in White,Cambridge,$129.00,InStock,https://www.myer.com.au/p/cambridge-bentleigh-modern-fit-shirt-in-white-934342660-934339780-1,5CKNWS75CajAyjQ8L-NUhoD2m0sVA__3-ZhYVdCce-g
